ID,Jornada,Puntos,Nombre,Equipo,Posición,Valoración,Pases totales,Pases precisos,Balones en largo totales,Centros totales,Duelos aéreos perdidos,Duelos perdidos,Duelos ganados,Regateado,Regates totales,Regates completados,Tiros a puerta,Tiros bloqueados en ataque,Goles,Despejes totales,Intercepciones,Entradas totales,Faltas recibidas,Minutos jugados,Toques,Valoración,Posesiones perdidas,Goles esperados,Pases clave,MATCH_STAT_expectedAssists,Balones en largo precisos,Asistencias de gol,Pérdidas,Tiros fuera,Faltas cometidas,Duelos aéreos ganados,Tiros bloqueados en defensa,Centros precisos,Ocasiones claras falladas,Ocasiones creadas,Fueras de juego,Errores que llevan a disparo,Tiros al palo,Penaltis provocados,Despejes en la línea de gol,Despejes por alto,Paradas desde dentro del área,Paradas,Salidas totales,Salidas precisas,Goles evitados,Despejes con los puños,Entradas como último hombre,Errores que llevan a gol,Penaltis parados,,Penaltis cometidos,Penaltis fallados
607,J9,12,Mayoral,Getafe,Delantero,"7,6",22,15,2,1,6,8,13,,6,4,2,,1,2,,1,4,90,43,"7,6",12,"0,6",,"0,0",1,,,,,4,,,1,,,,,,,,,,,,,,,,,,,
607,J10,10,Mayoral,Getafe,Delantero,"6,8",20,14,3,1,3,5,4,2,,,,,,3,,,2,89,28,"6,8",9,,1,"0,0",2,,,,,3,,,,,,,,,,,,,,,,,,,,,,
607,J11,3,Mayoral,Getafe,Delantero,"7,3",16,13,1,1,1,4,4,1,1,,1,,1,,,,2,89,24,"7,3",6,"0,6",1,"0,2",1,,1,,1,2,,1,,,,,,,,,,,,,,,,,,,,
607,J12,10,Mayoral,Getafe,Delantero,"7,1",25,20,1,2,3,9,5,,2,,1,1,1,,,1,1,87,44,"7,1",16,"1,0",1,"0,0",1,,4,,,3,,,,,1,,,,,,,,,,,,,,,,,
607,J13,9,Mayoral,Getafe,Delantero,"7,3",31,26,,2,3,6,3,1,1,,2,1,1,1,,,,89,46,"7,3",13,"0,5",3,"0,2",,,1,1,,3,,1,1,,,,,,,,,,,,,,,,,,,
607,J14,10,Mayoral,Getafe,Delantero,"6,1",14,10,1,1,2,7,4,,2,,,1,,,,,1,80,25,"6,1",11,"0,4",1,"0,0",1,,1,1,2,3,,1,1,,2,,,,,,,,,,,,,,,,,
607,J15,2,Mayoral,Getafe,Delantero,"7,5",32,29,,1,2,3,3,,1,,2,,1,,,,,90,39,"7,5",6,"0,1",,"0,1",,,,,,3,,,,,,,,,,,,,,,,,,,,,,
607,J16,10,Mayoral,Getafe,Delantero,"7,8",38,30,2,,3,7,6,,2,1,2,1,1,2,,1,,90,53,"7,8",14,"0,9",3,"0,2",1,,2,,1,4,,,,1,,,,,,,,,,,,,,,,,,
607,J17,10,Mayoral,Getafe,Delantero,"8,1",26,20,2,,1,6,2,1,,,2,1,2,,,,1,90,41,"8,1",13,"0,9",1,"0,0",,,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,
607,J18,17,Mayoral,Getafe,Delantero,"6,8",17,16,3,1,2,4,4,,,,,1,,1,,,3,90,28,"6,8",6,"0,0",1,"0,1",3,,2,,1,1,,1,,,,,,,,,,,,,,,,,,,,
607,J19,3,Mayoral,Getafe,Delantero,"6,7",22,19,1,2,1,3,1,,1,1,1,,,1,,,,88,32,"6,7",9,"0,5",2,"0,0",,,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,
607,J20,2,Mayoral,Getafe,Delantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,J21,9,Mayoral,Getafe,Delantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,J22,10,Mayoral,Getafe,Delantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,J23,3,Mayoral,Getafe,Delantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,J24,9,Mayoral,Getafe,Delantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,J25,2,Mayoral,Getafe,Delantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,J26,0,Mayoral,Getafe,Delantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,J27,2,Mayoral,Getafe,Delantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
