  432 ,Gayà             ,Valencia       ,Defensa     ,  28 ,1,72m ,64kg        ,11.329.000 ,95     ,5,0  ,      19 ,    1 ,       2 ,Apto
53098 ,Moleiro          ,Las Palmas     ,Mediocentro ,  20 ,1,69m ,Desconocido ,8.587.000  ,80     ,5,0  ,      16 ,    2 ,       0 ,Apto
51135 ,Barrios          ,Atlético       ,Mediocentro ,  20 ,1,81m ,Desconocido ,8.141.000  ,80     ,5,0  ,      16 ,    0 ,       3 ,Apto
56576 ,Méndez           ,Granada        ,Defensa     ,  24 ,1,84m ,Desconocido ,1.447.000  ,25     ,5,0  ,       5 ,    1 ,       2 ,Molestias, Duda esta jornada.
55741 ,Vieites          ,Betis          ,Portero     ,  24 ,1,96m ,Desconocido ,203.000    ,15     ,5,0  ,       3 ,    0 ,       0 ,Apto
17452 ,Militão          ,Real Madrid    ,Defensa     ,  26 ,1,86m ,78kg        ,3.893.000  ,5      ,5,0  ,       1 ,    0 ,       0 ,Rotura de ligamento cruzado, Baja hasta Abril.
31484 ,Camavinga        ,Real Madrid    ,Mediocentro ,  21 ,1,82m ,Desconocido ,14.142.000 ,93     ,4,9  ,      19 ,    0 ,       5 ,Apto
54896 ,Bamba            ,Celta          ,Delantero   ,  27 ,1,75m ,72kg        ,6.209.000  ,88     ,4,9  ,      18 ,    2 ,       0 ,Apto
   58 ,Stegen           ,Barcelona      ,Portero     ,  31 ,1,87m ,85kg        ,9.393.000  ,79     ,4,9  ,      16 ,    0 ,       2 ,Apto
  175 ,Raíllo           ,Mallorca       ,Defensa     ,  32 ,1,86m ,77kg        ,9.272.000  ,74     ,4,9  ,      15 ,    2 ,       3 ,Doble tarjeta, Baja esta jornada.
17450 ,Ruibal           ,Betis          ,Defensa     ,  27 ,1,76m ,Desconocido ,2.917.000  ,64     ,4,9  ,      14 ,    2 ,       4 ,Esguince de tobillo, Baja esta jornada.
23327 ,Suárez           ,Almería        ,Delantero   ,  26 ,1,85m ,Desconocido ,160.000    ,49     ,4,9  ,      10 ,    4 ,       2 ,Fractura de peroné, Baja hasta Mayo.
14811 ,Simón            ,Athletic Club  ,Portero     ,  26 ,1,89m ,86kg        ,10.701.000 ,126    ,4,8  ,      26 ,    0 ,       2 ,Apto
13015 ,Ramos            ,Cádiz          ,Delantero   ,  27 ,1,93m ,Desconocido ,8.556.000  ,124    ,4,8  ,      26 ,    5 ,       2 ,Apto
27874 ,Martín           ,Girona         ,Mediocentro ,  25 ,1,78m ,Desconocido ,13.839.000 ,120    ,4,8  ,      25 ,    4 ,       3 ,Apto
   91 ,Pezzella         ,Betis          ,Defensa     ,  32 ,1,87m ,82kg        ,13.746.000 ,120    ,4,8  ,      25 ,    1 ,       4 ,Apto
 6040 ,Maksimović       ,Getafe         ,Mediocentro ,  29 ,1,84m ,75kg        ,10.404.000 ,120    ,4,8  ,      25 ,    3 ,       3 ,Apto
27852 ,Vivian           ,Athletic Club  ,Defensa     ,  24 ,1,83m ,Desconocido ,10.716.000 ,114    ,4,8  ,      24 ,    0 ,       5 ,Acumulación de tarjetas, Baja esta jornada.
  346 ,Modrić           ,Real Madrid    ,Mediocentro ,  38 ,1,73m ,65kg        ,11.058.000 ,100    ,4,8  ,      21 ,    2 ,       1 ,Apto
27510 ,Depay            ,Atlético       ,Delantero   ,  30 ,1,76m ,78kg        ,7.313.000  ,77     ,4,8  ,      16 ,    5 ,       1 ,Apto
23369 ,Foyth            ,Villarreal     ,Defensa     ,  26 ,1,87m ,77kg        ,510.000    ,57     ,4,8  ,      12 ,    1 ,       1 ,Operado del hombro, Baja indefinida.
27841 ,Sabaly           ,Betis          ,Defensa     ,  30 ,1,74m ,70kg        ,305.000    ,19     ,4,8  ,       4 ,    0 ,       0 ,Apto
  561 ,Llorente         ,Atlético       ,Mediocentro ,  29 ,1,84m ,71kg        ,11.136.000 ,123    ,4,7  ,      26 ,    6 ,       3 ,Apto
53107 ,Cardona          ,Las Palmas     ,Defensa     ,  24 ,1,86m ,Desconocido ,14.592.000 ,118    ,4,7  ,      25 ,    0 ,       8 ,Apto
 6032 ,Remiro           ,Real Sociedad  ,Portero     ,  28 ,1,91m ,80kg        ,10.022.000 ,118    ,4,7  ,      25 ,    0 ,       3 ,Apto
18223 ,Ocampos          ,Sevilla        ,Delantero   ,  29 ,1,87m ,84kg        ,11.372.000 ,112    ,4,7  ,      24 ,    3 ,       5 ,Acumulación de tarjetas, Baja esta jornada.
22502 ,Baena            ,Villarreal     ,Mediocentro ,  22 ,1,74m ,Desconocido ,14.491.000 ,109    ,4,7  ,      23 ,    1 ,       9 ,Apto
54834 ,Blind            ,Girona         ,Defensa     ,  33 ,1,80m ,72kg        ,14.466.000 ,108    ,4,7  ,      23 ,    1 ,       5 ,Contusión, Duda esta jornada.
